op_index,op_type,op_name,preferred_devices,supported_devices,estimated_cost
25,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd60>,0.00990403837737537
26,const,,,,0.0
27,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,0.0015236940225327933
28,const,,,,0.0
29,const,,,,0.0
30,const,,,,0.0
31,const,,,,0.0
32,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cc70>,0.00990403837737537
33,const,,,,0.0
34,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,0.0015236940225327933
35,const,,,,0.0
36,const,,,,0.0
37,const,,,,0.0
38,const,,,,0.0
39,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,0.00990403837737537
40,const,,,,0.0
41,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,0.0015236940225327933
42,const,,,,0.0
43,const,,,,0.0
44,const,,,,0.0
45,const,,,,0.0
46,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd60>,0.00990403837737537
47,const,,,,0.0
48,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,0.0015236940225327933
49,const,,,,0.0
50,const,,,,0.0
51,const,,,,0.0
52,const,,,,0.0
53,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cc70>,0.00990403837737537
54,const,,,,0.0
55,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,0.0015236940225327933
56,const,,,,0.0
57,const,,,,0.0
58,const,,,,0.0
59,const,,,,0.0
60,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,0.00990403837737537
61,const,,,,0.0
62,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,0.0015236940225327933
63,const,,,,0.0
64,const,,,,0.0
65,const,,,,0.0
66,const,,,,0.0
67,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd60>,0.00990403837737537
68,const,,,,0.0
69,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,0.0015236940225327933
70,const,,,,0.0
71,const,,,,0.0
72,const,,,,0.0
73,const,,,,0.0
74,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cc70>,0.00990403837737537
75,const,,,,0.0
76,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,0.0015236940225327933
77,const,,,,0.0
78,const,,,,0.0
79,const,,,,0.0
80,const,,,,0.0
81,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,0.00990403837737537
82,const,,,,0.0
83,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,0.0015236940225327933
84,const,,,,0.0
85,const,,,,0.0
86,const,,,,0.0
87,const,,,,0.0
88,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd60>,0.00990403837737537
89,const,,,,0.0
90,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,0.0015236940225327933
91,const,,,,0.0
92,const,,,,0.0
93,const,,,,0.0
94,const,,,,0.0
95,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cc70>,0.00990403837737537
96,const,,,,0.0
97,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,0.0015236940225327933
98,const,,,,0.0
99,const,,,,0.0
100,const,,,,0.0
101,const,,,,0.0
102,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,0.00990403837737537
103,const,,,,0.0
104,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,0.0015236940225327933
105,const,,,,0.0
106,const,,,,0.0
107,const,,,,0.0
108,const,,,,0.0
109,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd60>,0.00990403837737537
110,const,,,,0.0
111,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,0.0015236940225327933
112,const,,,,0.0
113,const,,,,0.0
114,const,,,,0.0
115,const,,,,0.0
116,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cc70>,0.00990403837737537
117,const,,,,0.0
118,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,0.0015236940225327933
119,const,,,,0.0
120,const,,,,0.0
121,const,,,,0.0
122,const,,,,0.0
123,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,0.00990403837737537
124,const,,,,0.0
125,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,0.0015236940225327933
126,const,,,,0.0
127,const,,,,0.0
128,const,,,,0.0
129,const,,,,0.0
130,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd60>,0.00990403837737537
131,const,,,,0.0
132,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,0.0015236940225327933
133,const,,,,0.0
134,const,,,,0.0
135,const,,,,0.0
136,const,,,,0.0
137,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cc70>,0.00990403837737537
138,const,,,,0.0
139,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,0.0015236940225327933
140,const,,,,0.0
141,const,,,,0.0
142,const,,,,0.0
143,const,,,,0.0
144,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,0.00990403837737537
145,const,,,,0.0
146,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,0.0015236940225327933
147,const,,,,0.0
148,const,,,,0.0
149,const,,,,0.0
150,const,,,,0.0
151,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd60>,0.00990403837737537
152,const,,,,0.0
153,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,0.0015236940225327933
154,const,,,,0.0
155,const,,,,0.0
156,const,,,,0.0
157,const,,,,0.0
158,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cc70>,0.00990403837737537
159,const,,,,0.0
160,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,0.0015236940225327933
161,const,,,,0.0
162,const,,,,0.0
163,const,,,,0.0
164,const,,,,0.0
165,ios18.slice_by_index,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,0.00990403837737537
166,const,,,,0.0
167,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,0.0015236940225327933
168,const,,,,0.0
169,const,,,,0.0
170,const,,,,0.0
171,const,,,,0.0
172,const,,,,0.0
173,ios18.gather,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,0.43852135733803715
174,const,,,,0.0
175,const,,,,0.0
176,const,,,,0.0
177,const,,,,0.0
178,const,,,,0.0
179,ios18.cast,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,1.1670390948775739e-08
180,ios18.gather,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,0.008935036061502014
181,ios18.add,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,1.591290633843493e-05
182,const,,,,0.0
183,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,3.9912737044813025e-06
184,const,,,,0.0
185,ios18.expand_dims,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,3.9912737044813025e-06
186,const,,,,0.0
187,const,,,,0.0
188,ios18.cast,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,2.987620082886589e-06
189,ios18.sub,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,2.6625110214699063e-06
190,const,,,,0.0
191,const,,,,0.0
192,ios18.cast,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,1.4938100414432946e-06
193,select,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,2.4935735327217494e-06
194,const,,,,0.0
195,const,,,,0.0
196,const,,,,0.0
197,const,,,,0.0
198,ios18.layer_norm,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,5.975240165773178e-06
199,const,,,,0.0
200,ios18.reshape,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,5.990800687038213e-06
201,const,,,,0.0
202,const,,,,0.0
203,ios18.linear,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,0.0005853298412216447
204,const,,,,0.0
205,ios18.reshape,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd60>,1.7949061279217087e-05
206,const,,,,0.0
207,const,,,,0.0
208,split,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cc70>,1.1981601374076426e-05
209,const,,,,0.0
210,ios18.reshape,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,6.006361208303248e-06
211,const,,,,0.0
212,const,,,,0.0
213,ios18.reshape,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,6.006361208303248e-06
214,const,,,,0.0
215,const,,,,0.0
216,ios18.reshape,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd90>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,6.006361208303248e-06
217,const,,,,0.0
218,const,,,,0.0
219,ios18.transpose,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd90>,4.002507614945305e-06
220,ios18.concat,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd90>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30ccd0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cdf0>,0.0027921845674342667
221,const,,,,0.0
222,ios18.transpose,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd60>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cd30>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30ccd0>,4.002507614945305e-06
223,ios18.concat,,<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30ccd0>,<coremltools.models.compute_device.MLCPUComputeDevice object at 0x15e30cdf0>|<coremltools.models.compute_device.MLGPUComputeDevice object at 0x15e30cc70>|<coremltools.models.compute_device.MLNeuralEngineComputeDevice object at 0x15e30cd30>,0.0027921845674342667
